"OID_","Station_ID","R","R2","NSE","BIAS","RMSE","MAE","SMAPE","UBA","Longitude","Latitude"
49,"s01466200",0.99565261,0.991324119,0.898904556,2.163333333,2.606369058,2.425166667,21.3791067,24.9,-74.55625,39.94375
50,"s01414500",0.984813594,0.969857814,0.917691899,0.670805556,1.783714911,1.438027779,76.11287867,25.2,-74.73125,42.10625
51,"s08068400",0.993735381,0.987510008,0.825916609,1.537187499,1.978995261,1.680511028,9.045308228,25.9,-95.48541667,30.19375
52,"s02204130",0.994972906,0.989971084,0.884007019,-1.624472223,1.897769347,1.64425,9.457823832,26,-84.06458333,33.58125
53,"s06893300",0.989362682,0.978838516,0.463290778,1.598722223,4.483331586,3.730277777,47.70238717,26.6,-94.67708333,38.93958333
54,"s01412080",0.994573708,0.989176861,0.964672992,0.150972222,1.247532945,1.020305556,12.49873285,27.4,-74.94791667,39.37291667
55,"s02455980",0.998426376,0.996855228,0.774359389,-0.466690475,2.10316139,1.877203782,11.93620864,27.4,-86.69791667,33.71041667
56,"s01466100",0.991638988,0.983347882,0.929417735,-0.049833333,1.642903172,1.482,16.67972224,28.4,-74.53125,39.93125
58,"s03289200",0.967888892,0.936808908,0.091508555,2.024611112,4.503325329,3.734888888,38.10598263,30,-84.58541667,38.10625
59,"s02208150",0.998620705,0.997243312,0.92529765,-1.355079224,1.581733775,1.392916181,7.849796835,30.8,-83.88958333,33.91875
60,"s06187915",0.969086221,0.939128105,0.897756049,-0.233136905,1.052095521,0.664386905,107.554514,30.9,-110.0020833,45.00208333
61,"s01209710",0.99357574,0.987192752,0.961916658,-0.130361112,1.368183722,1.178194445,24.93354515,33,-73.42708333,41.13958333
62,"s02395120",0.995338858,0.990699443,0.932850505,-0.761333333,1.424860169,1.1135,6.283155432,33.1,-84.88958333,34.24375
63,"s01415000",0.991158569,0.982395309,0.93095948,0.88263889,1.724064087,1.412083334,72.74611083,33.2,-74.81875,42.11875
64,"s02458450",0.999514274,0.999028784,0.95554357,0.345048927,1.189003712,1.067638573,7.579188489,33.5,-86.87708333,33.52291667
65,"s02336728",0.999293441,0.998587382,0.972792206,-0.836870224,0.985624652,0.851453558,4.55060514,33.9,-84.56875,33.74375
66,"s07185090",0.990076085,0.980250654,0.91197838,-0.419638889,2.118124638,1.872888889,15.49624077,34.4,-94.85208333,36.94375
67,"s02336120",0.999248688,0.998497941,0.975572574,-0.888951754,0.977198018,0.909326754,5.463421463,34.8,-84.34375,33.83125
68,"s02387690",0.99019455,0.980485247,0.976914655,-0.16875,0.950554268,0.79225,6.171923269,35.3,-85.09791667,34.43958333
69,"s02458502",0.998292142,0.9965872,0.862013565,0.703206018,1.884881674,1.609553242,11.38632367,36.7,-86.88958333,33.52291667
70,"s02336410",0.998993209,0.997987432,0.965956996,-1.085565218,1.164547141,1.116847826,7.22130872,37.7,-84.43958333,33.83958333
71,"s05406497",0.984210143,0.968669606,0.159487619,-0.746842462,4.425257886,4.131613829,88.21086586,37.8,-89.70625,43.12708333
72,"s08052745",0.987134744,0.974435003,0.948539076,-0.351458792,1.550969788,1.300213065,7.107085962,38.5,-96.88958333,33.21875
73,"s08049553",0.990996104,0.982073278,0.889627298,-1.990333333,2.2997668,2.003,10.82954709,38.6,-97.08125,32.89375
74,"s03544970",0.996519809,0.99305173,0.906037065,-0.292018518,1.340440596,1.137657407,9.904760492,39.5,-83.71875,34.88541667
